model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
GradientBoosting,None,0.3,0.9276595744680851,0.6265709156193896,0.20267131242741,0.30627468187801665,0.783948588575866
GradientBoosting,None,0.5,0.9304049416609471,0.8210862619808307,0.14924506387921022,0.2525798525798526,0.783948588575866
GradientBoosting,None,0.7,0.928940745824754,0.9289340101522843,0.10627177700348432,0.19072433559145388,0.783948588575866
LightGBM,None,0.3,0.9278883550674902,0.6351851851851852,0.1991869918699187,0.3032714412024757,0.7838788289004717
LightGBM,None,0.5,0.930176161061542,0.8379310344827586,0.14111498257839722,0.2415506958250497,0.7838788289004717
LightGBM,None,0.7,0.9283001601464196,0.9479768786127167,0.09523809523809523,0.17308707124010553,0.7838788289004717
GradientBoosting,TomekLinks,0.3,0.9272935255090369,0.614853195164076,0.2067363530778165,0.30943068231203824,0.783121005476185
GradientBoosting,TomekLinks,0.5,0.930130404941661,0.7945619335347432,0.1527293844367015,0.25621042377009257,0.783121005476185
GradientBoosting,TomekLinks,0.7,0.9291695264241593,0.935,0.10859465737514518,0.19458896982310095,0.783121005476185
XGBoost,TomekLinks,0.5,0.930130404941661,0.8135048231511254,0.14692218350754935,0.24889326119035907,0.7826113430472492
XGBoost,TomekLinks,0.7,0.9288492335849919,0.9613259668508287,0.10104529616724739,0.18286915396741987,0.7826113430472492
XGBoost,TomekLinks,0.3,0.927522306108442,0.6219081272084805,0.20441347270615565,0.3076923076923077,0.7826113430472492
XGBoost,None,0.5,0.9304506977808282,0.8506944444444444,0.14227642276422764,0.24378109452736318,0.7820775812969191
XGBoost,None,0.3,0.9282086479066575,0.6473988439306358,0.1951219512195122,0.2998661311914324,0.7820775812969191
XGBoost,None,0.7,0.9284374285060627,0.9647058823529412,0.09523809523809523,0.1733615221987315,0.7820775812969191
LightGBM,EditedNearestNeighbours,0.3,0.9192862045298559,0.47780126849894294,0.26248548199767713,0.33883058470764615,0.7817328932171328
LightGBM,EditedNearestNeighbours,0.5,0.9284374285060627,0.6795454545454546,0.17363530778164923,0.2765957446808511,0.7817328932171328
LightGBM,EditedNearestNeighbours,0.7,0.9294898192633265,0.8339483394833949,0.13124274099883856,0.22679377822378324,0.7817328932171328
LightGBM,TomekLinks,0.7,0.9286204529855868,0.9550561797752809,0.09872241579558652,0.17894736842105263,0.7815209316812073
LightGBM,TomekLinks,0.5,0.930130404941661,0.8217821782178217,0.1445993031358885,0.24592592592592594,0.7815209316812073
LightGBM,TomekLinks,0.3,0.9273850377487989,0.6182136602451839,0.20499419279907086,0.3078935891844745,0.7815209316812073
XGBoost,EditedNearestNeighbours,0.3,0.9206588881262869,0.4934210526315789,0.2613240418118467,0.3416856492027335,0.7809750553707508
XGBoost,EditedNearestNeighbours,0.5,0.9282086479066575,0.6766743648960739,0.17015098722415795,0.2719257540603248,0.7809750553707508
XGBoost,EditedNearestNeighbours,0.7,0.9286204529855868,0.813953488372093,0.12195121951219512,0.21212121212121213,0.7809750553707508
GradientBoosting,EditedNearestNeighbours,0.5,0.9278425989476092,0.6494845360824743,0.18292682926829268,0.285455369279565,0.7809060023780305
GradientBoosting,EditedNearestNeighbours,0.7,0.9295355753832075,0.8074324324324325,0.13879210220673635,0.23686818632309217,0.7809060023780305
GradientBoosting,EditedNearestNeighbours,0.3,0.9174559597346145,0.4594059405940594,0.2694541231126597,0.3396778916544656,0.7809060023780305
GradientBoosting,RandomUnderSampler,0.3,0.373186913749714,0.10568249160466188,0.9320557491289199,0.18983973032113075,0.7731869075295048
GradientBoosting,RandomUnderSampler,0.7,0.8987874628231526,0.347636815920398,0.3246225319396051,0.33573573573573573,0.7731869075295048
GradientBoosting,RandomUnderSampler,0.5,0.7004804392587508,0.16434734205399387,0.6858304297328688,0.2651549169286035,0.7731869075295048
LightGBM,RandomUnderSampler,0.7,0.9031342942118509,0.3675385647216633,0.31823461091753774,0.34111422346716463,0.772500487899487
LightGBM,RandomUnderSampler,0.5,0.6973232669869595,0.16371134020618558,0.6916376306620209,0.26475491830610204,0.772500487899487
